Region, Date, Frequency, Value
India, 08-06-2017, D,3.75
India, 09-06-2017, D,3.72
India, 10-06-2017, D,3.66
India, 11-06-2017, D,3.72
India, 12-06-2017, D,3.87
India, 13-06-2017, D,3.87
India, 14-06-2017, D,3.81
India, 15-06-2017, D,3.83
India, 16-06-2017, D,3.85
India, 17-06-2017, D,3.84
India, 18-06-2017, D,3.82
India, 19-06-2017, D,3.87
India, 20-06-2017, D,3.89
India, 21-06-2017, D,3.98
India, 22-06-2017, D,3.91
India, 23-06-2017, D,3.77
India, 24-06-2017, D,3.77
India, 25-06-2017, D,3.51
India, 26-06-2017, D,3.49
India, 27-06-2017, D,3.54
India, 28-06-2017, D,3.56
India, 29-06-2017, D,3.58
India, 30-06-2017, D,3.54
India, 01-07-2017, D,3.97
India, 02-07-2017, D,4.02
India, 03-07-2017, D,4.03
India, 04-07-2017, D,4.01
India, 05-07-2017, D,3.98
India, 06-07-2017, D,3.96
India, 07-07-2017, D,3.9
India, 08-07-2017, D,3.9
India, 09-07-2017, D,3.9
India, 10-07-2017, D,3.96
India, 11-07-2017, D,3.81
India, 12-07-2017, D,3.7
India, 13-07-2017, D,3.63
India, 14-07-2017, D,3.58
India, 15-07-2017, D,3.49
India, 16-07-2017, D,3.45
India, 17-07-2017, D,3.53
India, 18-07-2017, D,3.47
India, 19-07-2017, D,3.36
India, 20-07-2017, D,3.33
India, 21-07-2017, D,3.33
India, 22-07-2017, D,3.31
India, 23-07-2017, D,3.28
India, 24-07-2017, D,3.31
India, 25-07-2017, D,3.31
India, 26-07-2017, D,3.27
India, 27-07-2017, D,3.25
India, 28-07-2017, D,3.26
India, 29-07-2017, D,3.26
India, 30-07-2017, D,3.25
India, 31-07-2017, D,3.19
India, 01-08-2017, D,3.17
India, 02-08-2017, D,3.12
India, 03-08-2017, D,3.1
India, 04-08-2017, D,3.06
India, 05-08-2017, D,3.17
India, 06-08-2017, D,3.19
India, 07-08-2017, D,3.19
India, 08-08-2017, D,3.19
India, 09-08-2017, D,3.17
India, 10-08-2017, D,3.2
India, 11-08-2017, D,3.19
India, 12-08-2017, D,3.28
India, 13-08-2017, D,3.37
India, 14-08-2017, D,3.47
India, 15-08-2017, D,3.59
India, 16-08-2017, D,3.54
India, 17-08-2017, D,3.6
India, 18-08-2017, D,3.61
India, 19-08-2017, D,3.67
India, 20-08-2017, D,3.69
India, 21-08-2017, D,3.66
India, 22-08-2017, D,3.73
India, 23-08-2017, D,3.67
India, 24-08-2017, D,3.69
India, 25-08-2017, D,3.72
India, 26-08-2017, D,3.66
India, 27-08-2017, D,3.62
India, 28-08-2017, D,3.8
India, 29-08-2017, D,3.77
India, 30-08-2017, D,3.77
India, 31-08-2017, D,3.75
India, 01-09-2017, D,3.85
India, 02-09-2017, D,3.95
India, 03-09-2017, D,4.02
India, 04-09-2017, D,4.05
India, 05-09-2017, D,4.32
India, 06-09-2017, D,4.38
India, 07-09-2017, D,4.43
India, 08-09-2017, D,4.56
India, 09-09-2017, D,4.59
India, 10-09-2017, D,4.57
India, 11-09-2017, D,4.59
India, 12-09-2017, D,4.49
India, 13-09-2017, D,4.48
India, 14-09-2017, D,4.38
India, 15-09-2017, D,4.4
India, 16-09-2017, D,4.46
India, 17-09-2017, D,4.5
India, 18-09-2017, D,4.42
India, 19-09-2017, D,4.37
India, 20-09-2017, D,4.3
India, 21-09-2017, D,4.34
India, 22-09-2017, D,4.34
India, 23-09-2017, D,4.41
India, 24-09-2017, D,4.44
India, 25-09-2017, D,4.4
India, 26-09-2017, D,4.39
India, 27-09-2017, D,4.25
India, 28-09-2017, D,4.31
India, 29-09-2017, D,4.32
India, 30-09-2017, D,4.26
India, 01-10-2017, D,4.27
India, 02-10-2017, D,4.31
India, 03-10-2017, D,4.41
India, 04-10-2017, D,4.42
India, 05-10-2017, D,4.46
India, 06-10-2017, D,4.48
India, 07-10-2017, D,4.39
India, 08-10-2017, D,4.38
India, 09-10-2017, D,4.35
India, 10-10-2017, D,4.24
India, 11-10-2017, D,4.18
India, 12-10-2017, D,4.33
India, 13-10-2017, D,4.44
India, 14-10-2017, D,4.55
India, 15-10-2017, D,4.62
India, 16-10-2017, D,4.61
India, 17-10-2017, D,4.64
India, 18-10-2017, D,4.76
India, 19-10-2017, D,4.91
India, 20-10-2017, D,5.1
India, 21-10-2017, D,5.18
India, 22-10-2017, D,5.92
India, 23-10-2017, D,5.91
India, 24-10-2017, D,5.7
India, 25-10-2017, D,5.67
India, 26-10-2017, D,5.74
India, 27-10-2017, D,5.69
India, 28-10-2017, D,5.49
India, 29-10-2017, D,5.45
India, 30-10-2017, D,5.55
India, 31-10-2017, D,5.76
India, 01-11-2017, D,5.71
India, 02-11-2017, D,5.65
India, 03-11-2017, D,5.58
India, 04-11-2017, D,5.47
India, 05-11-2017, D,5.56
India, 06-11-2017, D,5.62
India, 07-11-2017, D,5.68
India, 08-11-2017, D,5.55
India, 09-11-2017, D,6.33
India, 10-11-2017, D,6.39
India, 11-11-2017, D,6.14
India, 12-11-2017, D,5.7
India, 13-11-2017, D,5.7
India, 14-11-2017, D,5.74
India, 15-11-2017, D,5.82
India, 16-11-2017, D,5.76
India, 17-11-2017, D,5.64
India, 18-11-2017, D,5.59
India, 19-11-2017, D,5.42
India, 20-11-2017, D,5.15
India, 21-11-2017, D,5.06
India, 22-11-2017, D,5.11
India, 23-11-2017, D,5.02
India, 24-11-2017, D,5.04
India, 25-11-2017, D,4.99
India, 26-11-2017, D,5.01
India, 27-11-2017, D,5.11
India, 28-11-2017, D,5.05
India, 29-11-2017, D,4.97
India, 30-11-2017, D,4.82
India, 01-12-2017, D,4.82
India, 02-12-2017, D,4.82
India, 03-12-2017, D,4.87
India, 04-12-2017, D,4.91
India, 05-12-2017, D,4.8
India, 06-12-2017, D,4.78
India, 07-12-2017, D,4.7
India, 08-12-2017, D,4.64
India, 09-12-2017, D,4.54
India, 10-12-2017, D,4.54
India, 11-12-2017, D,4.54
India, 12-12-2017, D,4.53
India, 13-12-2017, D,4.6
India, 14-12-2017, D,4.57
India, 15-12-2017, D,4.46
India, 16-12-2017, D,4.39
India, 17-12-2017, D,4.46
India, 18-12-2017, D,4.52
India, 19-12-2017, D,4.64
India, 20-12-2017, D,4.64
India, 21-12-2017, D,4.7
India, 22-12-2017, D,4.7
India, 23-12-2017, D,4.7
India, 24-12-2017, D,4.68
India, 25-12-2017, D,4.72
India, 26-12-2017, D,4.78
India, 27-12-2017, D,4.71
India, 28-12-2017, D,4.77
India, 29-12-2017, D,4.65
India, 30-12-2017, D,4.87
India, 31-12-2017, D,5.05
India, 01-01-2018, D,5.07
India, 02-01-2018, D,5.12
India, 03-01-2018, D,5.16
India, 04-01-2018, D,5.21
India, 05-01-2018, D,5.21
India, 06-01-2018, D,5.14
India, 07-01-2018, D,5.29
India, 08-01-2018, D,5.19
India, 09-01-2018, D,5.12
India, 10-01-2018, D,5.08
India, 11-01-2018, D,5.07
India, 12-01-2018, D,5.12
India, 13-01-2018, D,5.07
India, 14-01-2018, D,5.13
India, 15-01-2018, D,5.06
India, 16-01-2018, D,5.17
India, 17-01-2018, D,5.16
India, 18-01-2018, D,5.16
India, 19-01-2018, D,5.16
India, 20-01-2018, D,4.95
India, 21-01-2018, D,4.92
India, 22-01-2018, D,4.99
India, 23-01-2018, D,5
India, 24-01-2018, D,5.12
India, 25-01-2018, D,5.04
India, 26-01-2018, D,4.97
India, 27-01-2018, D,5.02
India, 28-01-2018, D,5.02
India, 29-01-2018, D,4.98
India, 30-01-2018, D,4.85
India, 31-01-2018, D,4.87
India, 01-02-2018, D,4.84
India, 02-02-2018, D,4.83
India, 03-02-2018, D,4.84
